(36650, 4.26, 613.6, 2613.936)
(36731, 4.26, 505.6, 2153.8559999999998)
(36812, 4.232, 491.6, 2080.4512)
(36893, 4.312, 494.0, 2130.128)
(36975, 4.32, 499.2, 2156.544)
(37056, 4.224, 509.2, 2150.8608)
(37137, 4.332, 486.8, 2108.8176)
(37219, 4.3, 479.6, 2062.28)
(37300, 4.268, 530.4, 2263.7472)
(37381, 4.22, 498.4, 2103.2479999999996)
(37463, 4.28, 484.0, 2071.52)
(37544, 4.236, 499.6, 2116.3056)
(37625, 4.328, 478.0, 2068.784)
(37707, 4.26, 467.2, 1990.272)
(37788, 4.28, 475.6, 2035.5680000000002)
(37869, 4.216, 537.2, 2264.8352000000004)
(37951, 4.268, 557.6, 2379.8368)
(38032, 4.288, 490.4, 2102.8352)
(38113, 4.24, 454.0, 1924.96)
(38194, 4.26, 456.0, 1942.56)
(38276, 4.344, 466.8, 2027.7792000000002)
(38357, 4.288, 464.4, 1991.3472)
(38438, 4.212, 460.4, 1939.2047999999998)
(38520, 4.32, 458.4, 1980.288)
(38601, 4.26, 460.0, 1959.6)
(38682, 4.312, 605.6, 2611.3472)
(38764, 4.256, 626.8, 2667.6608)
(38845, 4.24, 584.0, 2476.1600000000003)
(38926, 4.236, 462.0, 1957.032)
(39008, 4.308, 456.0, 1964.4479999999999)
(39089, 4.26, 454.8, 1937.4479999999999)
(39170, 4.268, 521.2, 2224.4816)
(39252, 4.208, 564.0, 2373.312)
(39333, 4.272, 497.2, 2124.0384)
(39414, 4.312, 457.2, 1971.4464)
(39495, 4.204, 480.8, 2021.2831999999999)
(39577, 4.296, 480.8, 2065.5168000000003)
(39658, 4.288, 489.6, 2099.4048000000003)
(39739, 4.26, 483.6, 2060.136)
(39821, 4.236, 485.2, 2055.3071999999997)
(39902, 4.316, 470.0, 2028.52)
(39983, 4.216, 571.6, 2409.8656)
(40065, 4.292, 523.6, 2247.2912)
(40146, 4.308, 491.2, 2116.0896)
(40227, 4.26, 506.8, 2158.968)
(40309, 4.24, 503.6, 2135.264)
(40390, 4.28, 594.4, 2544.032)
(40471, 4.224, 626.0, 2644.224)
(40553, 4.208, 621.2, 2614.0096000000003)
(40634, 4.276, 468.4, 2002.8783999999998)
(40715, 4.268, 468.4, 1999.1311999999998)
(40796, 4.32, 482.0, 2082.2400000000002)
(40878, 4.212, 472.8, 1991.4335999999998)
(40959, 4.3, 475.6, 2045.08)
(41040, 4.244, 478.8, 2032.0272)
(41122, 4.26, 477.6, 2034.576)
(41203, 4.292, 447.2, 1919.3824)
(41284, 4.312, 537.2, 2316.4064000000003)
(41366, 4.208, 532.0, 2238.656)
(41447, 4.308, 525.6, 2264.2848)
(41528, 4.284, 525.6, 2251.6704)
